2 49998
3 20087
4 9841
5 5782
6 3561
7 2398
8 1579
9 1230
10 929
11 701
12 532
13 475
14 325
15 283
16 250
17 196
18 211
19 169
20 134
21 122
22 103
23 97
24 77
25 50
26 60
27 58
28 50
29 40
30 28
31 37
32 29
33 29
34 32
35 20
36 25
37 19
38 23
39 17
40 12
41 17
42 12
43 14
44 15
45 12
46 16
47 18
48 14
49 10
50 9
51 7
52 7
53 10
54 8
55 10
56 12
57 6
58 7
59 10
60 7
61 7
62 5
63 1
64 5
65 3
66 4
67 7
68 2
69 4
70 10
71 2
72 2
73 3
74 4
75 2
76 3
77 4
78 4
79 2
80 4
81 2
82 1
83 2
84 2
86 1
87 3
88 1
89 1
90 2
92 1
94 2
95 3
96 1
97 3
99 1
101 4
103 1
105 1
106 2
107 1
108 1
109 2
111 3
114 2
116 2
118 1
119 1
120 1
121 1
123 2
126 1
127 2
128 3
130 1
138 1
140 4
142 1
143 1
144 1
153 1
156 1
159 1
164 1
165 1
168 1
174 2
176 1
180 1
182 1
187 1
198 1
199 1
202 1
212 1
221 1
230 2
243 1
246 1
254 1
289 1
301 1
319 1
449 1
